m,a,e,c_h,cost_policy,cost_fixed_threshold,cost_amount_blind,cost_headline_B_system,cost_trivial,trivial,savings_vs_trivial,gap_vs_fixed,gap_vs_amount_blind,delta_headline_minus_ours_per_1k_txn,mix_approve,mix_stepup,mix_block
0.15,0.05,0.95,30.0,65619.0,195378.0,68623.0,58599.0,557056.0,approve-all,0.8822,0.2329,0.0054,-87.8,0.624,0.365,0.012
0.15,0.05,0.95,60.0,69573.0,214128.0,71932.0,61711.0,641356.0,approve-all,0.8915,0.2254,0.0037,-98.3,0.567,0.421,0.012
0.15,0.125,0.6,15.0,155235.0,186003.0,155582.0,148457.0,514906.0,approve-all,0.6985,0.0598,0.0007,-84.8,0.867,0.111,0.022
0.15,0.125,0.6,30.0,162715.0,195378.0,164003.0,155713.0,557056.0,approve-all,0.7079,0.0586,0.0023,-87.6,0.852,0.121,0.027
0.15,0.125,0.6,60.0,176613.0,214128.0,177583.0,169690.0,641356.0,approve-all,0.7246,0.0585,0.0015,-86.6,0.823,0.144,0.033
0.15,0.125,0.775,15.0,126942.0,186003.0,127248.0,120012.0,514906.0,approve-all,0.7535,0.1147,0.0006,-86.7,0.844,0.139,0.016
0.15,0.125,0.775,30.0,133311.0,195378.0,133522.0,125816.0,557056.0,approve-all,0.7607,0.1114,0.0004,-93.7,0.827,0.154,0.018
0.15,0.125,0.775,60.0,145197.0,214128.0,144389.0,136570.0,641356.0,approve-all,0.7736,0.1075,-0.0013,-107.9,0.791,0.187,0.023
0.15,0.125,0.95,15.0,95179.0,186003.0,93656.0,87900.0,514906.0,approve-all,0.8152,0.1764,-0.003,-91.0,0.83,0.159,0.011
0.15,0.125,0.95,30.0,99248.0,195378.0,98123.0,91319.0,557056.0,approve-all,0.8218,0.1726,-0.002,-99.2,0.803,0.185,0.012
0.15,0.125,0.95,60.0,106857.0,214128.0,104583.0,96914.0,641356.0,approve-all,0.8334,0.1673,-0.0035,-124.4,0.753,0.234,0.013
0.15,0.2,0.6,15.0,174380.0,186003.0,170643.0,164004.0,514906.0,approve-all,0.6613,0.0226,-0.0073,-129.8,0.905,0.071,0.024
0.15,0.2,0.6,30.0,183368.0,195378.0,176408.0,171228.0,557056.0,approve-all,0.6708,0.0216,-0.0125,-151.8,0.89,0.081,0.029
0.15,0.2,0.6,60.0,198489.0,214128.0,190079.0,186927.0,641356.0,approve-all,0.6905,0.0244,-0.0131,-144.6,0.866,0.098,0.036
0.15,0.2,0.775,15.0,142871.0,186003.0,142882.0,140366.0,514906.0,approve-all,0.7225,0.0838,0.0,-31.3,0.875,0.108,0.017
0.15,0.2,0.775,30.0,149340.0,195378.0,149747.0,145841.0,557056.0,approve-all,0.7319,0.0826,0.0007,-43.8,0.865,0.116,0.019
0.15,0.2,0.775,60.0,162048.0,214128.0,165260.0,155448.0,641356.0,approve-all,0.7473,0.0812,0.005,-82.5,0.845,0.132,0.024
0.15,0.2,0.95,15.0,112263.0,186003.0,112503.0,106293.0,514906.0,approve-all,0.782,0.1432,0.0005,-74.7,0.868,0.121,0.011
0.15,0.2,0.95,30.0,116808.0,195378.0,118632.0,111137.0,557056.0,approve-all,0.7903,0.141,0.0033,-70.9,0.853,0.135,0.012
0.15,0.2,0.95,60.0,126309.0,214128.0,127506.0,120021.0,641356.0,approve-all,0.8031,0.1369,0.0019,-78.6,0.824,0.164,0.013
