m,a,e,c_h,two-lane+A2 (ours),single-lane B (headline pick),single-lane A,blocklist-only,approve-all,delta_headline_minus_ours_per_1k,delta_pct_of_volume
0.25,0.05,0.6,15.0,168108.0,161738.0,214474.0,345817.0,514906.0,-79.7,-0.059
0.25,0.05,0.6,30.0,176645.0,168597.0,227721.0,374047.0,557056.0,-100.7,-0.075
0.25,0.05,0.6,60.0,194064.0,184518.0,250930.0,430507.0,641356.0,-119.4,-0.088
0.25,0.05,0.775,15.0,131941.0,125532.0,165934.0,345817.0,514906.0,-80.2,-0.059
0.25,0.05,0.775,30.0,138237.0,132452.0,175178.0,374047.0,557056.0,-72.4,-0.054
0.25,0.05,0.775,60.0,150035.0,144998.0,193344.0,430507.0,641356.0,-63.0,-0.047
0.25,0.05,0.95,15.0,91147.0,81925.0,101848.0,345817.0,514906.0,-115.3,-0.085
0.25,0.05,0.95,30.0,94063.0,84736.0,107535.0,374047.0,557056.0,-116.7,-0.086
0.25,0.05,0.95,60.0,99246.0,90225.0,118106.0,430507.0,641356.0,-112.8,-0.084
0.25,0.125,0.6,15.0,196293.0,188650.0,259815.0,345817.0,514906.0,-95.6,-0.071
0.25,0.125,0.6,30.0,206647.0,198150.0,275255.0,374047.0,557056.0,-106.3,-0.079
0.25,0.125,0.6,60.0,226795.0,218250.0,299584.0,430507.0,641356.0,-106.9,-0.079
0.25,0.125,0.775,15.0,164224.0,163339.0,217619.0,345817.0,514906.0,-11.1,-0.008
0.25,0.125,0.775,30.0,172187.0,170926.0,228894.0,374047.0,557056.0,-15.8,-0.012
0.25,0.125,0.775,60.0,188149.0,184140.0,244631.0,430507.0,641356.0,-50.1,-0.037
0.25,0.125,0.95,15.0,127599.0,117541.0,153046.0,345817.0,514906.0,-125.8,-0.093
0.25,0.125,0.95,30.0,133925.0,122676.0,159908.0,374047.0,557056.0,-140.7,-0.104
0.25,0.125,0.95,60.0,144492.0,131870.0,171832.0,430507.0,641356.0,-157.9,-0.117
0.25,0.2,0.6,15.0,207377.0,208260.0,282967.0,345817.0,514906.0,11.0,0.008
0.25,0.2,0.6,30.0,219089.0,220567.0,297875.0,374047.0,557056.0,18.5,0.014
0.25,0.2,0.6,60.0,241960.0,239878.0,324716.0,430507.0,641356.0,-26.0,-0.019
0.25,0.2,0.775,15.0,186068.0,183503.0,252445.0,345817.0,514906.0,-32.1,-0.024
0.25,0.2,0.775,30.0,194610.0,192025.0,263185.0,374047.0,557056.0,-32.3,-0.024
0.25,0.2,0.775,60.0,210052.0,208318.0,284686.0,430507.0,641356.0,-21.7,-0.016
0.25,0.2,0.95,15.0,157796.0,144952.0,197608.0,345817.0,514906.0,-160.6,-0.119
0.25,0.2,0.95,30.0,165385.0,150619.0,206462.0,374047.0,557056.0,-184.7,-0.137
0.25,0.2,0.95,60.0,177915.0,162969.0,222277.0,430507.0,641356.0,-186.9,-0.139
