day,ap
120,0.7442994988076256
121,0.8258560119698007
122,0.7980593418798019
123,0.8056794453989347
124,0.8078707714753511
125,0.8556490716001449
126,0.815824898907428
127,0.7786917285166931
128,0.6594518205514075
129,0.8619935823317266
130,0.7176891545195999
131,0.7105814110284038
132,0.7513044071653016
133,0.8745003392337102
134,0.7489940337022234
135,0.8307531313207241
136,0.7191882097458204
137,0.6729777626558168
138,0.731830427214556
139,0.5359449630251735
140,0.655166148076533
141,0.6849866669407274
142,0.740210960292944
143,0.7753500950277131
144,0.7099470979087681
145,0.6470162695338487
146,0.6712155710931215
147,0.6526202144160017
