day,ap,coverage,n,positives
120,0.6323092584940557,0.18345597564070032,3941,181
121,0.7212796243793419,0.18760357971494862,3017,121
122,0.6891692087108202,0.22177901874750697,2507,64
123,0.7491537133242574,0.15663716814159293,3390,128
124,0.61024129248748,0.13374583531651593,4202,89
125,0.7272101683777855,0.15690798961638305,3467,148
126,0.7537077662716131,0.18977384464110128,3051,102
127,0.5889226775049539,0.17901049475262368,3335,84
128,0.4078257693606145,0.17550857598723574,2507,69
129,0.7280871447301465,0.20059625212947188,2348,130
130,0.5483883809206311,0.16458852867830423,2807,95
131,0.4474278509703047,0.18072289156626506,2822,105
132,0.48606771602075716,0.16787790697674418,2752,108
133,0.7183306043212048,0.1935243766282099,2687,136
134,0.5629529580483589,0.195097037793667,2937,103
135,0.5977904608185639,0.18773157678056812,2429,90
136,0.49794429443371785,0.2255859375,2048,73
137,0.4782519292575611,0.1602608098833219,2914,69
138,0.6306878533476721,0.18236120871398454,2846,112
139,0.2785574102118755,0.1668472372697725,2769,61
140,0.5743062213946191,0.20197793837961203,2629,103
141,0.48690733558629723,0.18633333333333332,3000,131
142,0.5685425822042108,0.15725637808448348,2391,103
143,0.5444360129520974,0.18604651162790697,2064,71
144,0.459546509325523,0.1434878587196468,2718,90
145,0.41385093156754127,0.15967016491754124,2668,67
146,0.4646719855918758,0.17692307692307693,2990,98
147,0.34780734476444053,0.18543046357615894,2718,79
